GeneName	condition
Fam102a	colon_uc_down_day2
Lrrtm1	colon_uc_down_day2
Sgk1	colon_uc_down_day2
Per3	colon_uc_down_day2
Clec2d	colon_uc_down_day2
Tgm7	colon_uc_down_day2
Rgcc	colon_uc_down_day2
Hlf	colon_uc_down_day2
Usp2	colon_uc_down_day2
Wfdc12	colon_uc_down_day2
Slc22a4	colon_uc_down_day2
Mchr1	colon_uc_down_day2
Cpn1	colon_uc_down_day2
Hc	colon_uc_down_day2
Khdc1a	colon_uc_down_day2
Lpar3	colon_uc_down_day2
Spsb4	colon_uc_down_day2
Slc22a12	colon_uc_down_day2
Gbp2b	colon_uc_down_day2
Erich5	colon_uc_down_day2
Tcap	colon_uc_down_day2
Bhlha15	colon_uc_down_day2
Ascl2	colon_uc_down_day2
Gm2897	colon_uc_down_day2
Ptpro	colon_uc_down_day2
Myom3	colon_uc_down_day2
Serpina3k	colon_uc_down_day2
Kcne3	colon_uc_down_day2
Neurog3	colon_uc_down_day2
Cyp4f15	colon_uc_down_day2
Gm5814	colon_uc_down_day2
Per1	colon_uc_down_day2
Krt27	colon_uc_down_day2
Gpr17	colon_uc_down_day2
Krt84	colon_uc_down_day2
Hist1h2an	colon_uc_down_day2
Hsph1	colon_uc_down_day2
Comp	colon_uc_down_day2
Hhip	colon_uc_down_day2
Slc37a2	colon_uc_down_day2
Gpr15	colon_uc_down_day2
Lilra6	colon_uc_down_day2
Serpind1	colon_uc_down_day2
Dnaja1	colon_uc_down_day2
Zbtb16	colon_uc_down_day2
Lhx3	colon_uc_down_day2
Pcna-ps2	colon_uc_down_day2
Hes5	colon_uc_down_day2
Gm10184	colon_uc_down_day2
Pbp2	colon_uc_down_day2
Gm9992	colon_uc_down_day2
Kcnv2	colon_uc_down_day2
Glt8d2	colon_uc_down_day2
Vwa2	colon_uc_down_day2
Boc	colon_uc_down_day2
Chordc1	colon_uc_down_day2
Edaradd	colon_uc_down_day2
Rbm8a2	colon_uc_down_day2
Gm44805	colon_uc_down_day2
Gm20708	colon_uc_down_day2
Alas1	colon_uc_down_day2
Scn2b	colon_uc_down_day2
Zfp457	colon_uc_down_day2
Aqp12	colon_uc_down_day2
Ankef1	colon_uc_down_day2
Hist1h3c	colon_uc_down_day2
Gm14288	colon_uc_down_day2
Amd2	colon_uc_down_day2
Cyp2e1	colon_uc_down_day2
Gnat1	colon_uc_down_day2
Flnc	colon_uc_down_day2
Zfp934	colon_uc_down_day2
Lgr5	colon_uc_down_day2
Gm19684	colon_uc_down_day2
Wnt10b	colon_uc_down_day2
Slc26a1	colon_uc_down_day2
Timp4	colon_uc_down_day2
A730015C16Rik	colon_uc_down_day2
Slc6a13	colon_uc_down_day2
Tdpoz1	colon_uc_down_day2
Slc16a8	colon_uc_down_day2
Trpv3	colon_uc_down_day2
Clec2i	colon_uc_down_day2
Cidec	colon_uc_down_day2
Adcy8	colon_uc_down_day2
Hspa1b	colon_uc_down_day2
Cd80	colon_uc_down_day2
Pla2g2e	colon_uc_down_day2
Awat2	colon_uc_down_day2
Tra2a	colon_uc_down_day2
Gm3468	colon_uc_down_day2
Lmo3	colon_uc_down_day2
Pagr1a	colon_uc_down_day2
Klk1b11	colon_uc_down_day2
Gm14410	colon_uc_down_day2
Nr1i3	colon_uc_down_day2
Msx3	colon_uc_down_day2
Zfp781	colon_uc_down_day2
Uox	colon_uc_down_day2
Banp	colon_uc_down_day2
Map3k19	colon_uc_down_day2
Syt10	colon_uc_down_day2
St3gal5	colon_uc_down_day2
Zic1	colon_uc_down_day2
Pla2g4b	colon_uc_down_day2
Apoa4	colon_uc_down_day2
Nat8f2	colon_uc_down_day2
Pon1	colon_uc_down_day2
Tnfrsf17	colon_uc_down_day2
Treh	colon_uc_down_day2
3110021N24Rik	colon_uc_down_day2
Cldn22	colon_uc_down_day2
Gm14419	colon_uc_down_day2
Duxbl2	colon_uc_down_day2
Aqp8	colon_uc_down_day2
Gm10031	colon_uc_down_day2
Pspn	colon_uc_down_day2
Ttll3	colon_uc_down_day2
Gm20521	colon_uc_down_day2
Lep	colon_uc_down_day2
Gm4767	colon_uc_down_day2
Btbd16	colon_uc_down_day2
Gm10775	colon_uc_down_day2
Cemip	colon_uc_up_day4
Tnip3	colon_uc_up_day4
Il4ra	colon_uc_up_day4
Sval1	colon_uc_up_day4
Il11	colon_uc_up_day4
Mmp10	colon_uc_up_day4
Mmp3	colon_uc_up_day4
Prss22	colon_uc_up_day4
Il1r2	colon_uc_up_day4
Cyp1b1	colon_uc_up_day4
Mfsd2a	colon_uc_up_day4
Mcpt2	colon_uc_up_day4
A2m	colon_uc_up_day4
Gfap	colon_uc_up_day4
Adamts4	colon_uc_up_day4
Mmp13	colon_uc_up_day4
Chrdl2	colon_uc_up_day4
Lbp	colon_uc_up_day4
Mcpt1	colon_uc_up_day4
Kng2	colon_uc_up_day4
Kcne4	colon_uc_up_day4
Selp	colon_uc_up_day4
Csf3	colon_uc_up_day4
Lcn2	colon_uc_up_day4
Tmem173	colon_uc_up_day4
Duoxa2	colon_uc_up_day4
Ms4a4c	colon_uc_up_day4
Il6	colon_uc_up_day4
Prss27	colon_uc_up_day4
Spon2	colon_uc_up_day4
Lgals2	colon_uc_up_day4
Ccr2	colon_uc_up_day4
Csf2rb	colon_uc_up_day4
Ltf	colon_uc_up_day4
Zbp1	colon_uc_up_day4
Timp1	colon_uc_up_day4
Ly6g	colon_uc_up_day4
Gpx2	colon_uc_up_day4
Sphk1	colon_uc_up_day4
Duoxa1	colon_uc_up_day4
Mmp8	colon_uc_up_day4
Gm14137	colon_uc_up_day4
Nos2	colon_uc_up_day4
Sirpb1c	colon_uc_up_day4
Reg3g	colon_uc_up_day4
Adgrf1	colon_uc_up_day4
Ccl8	colon_uc_up_day4
Serpina3m	colon_uc_up_day4
Cd300a	colon_uc_up_day4
Slfn1	colon_uc_up_day4
Tnf	colon_uc_up_day4
Cxcl1	colon_uc_up_day4
Retnlg	colon_uc_up_day4
Socs3	colon_uc_up_day4
Themis2	colon_uc_up_day4
Cpxm1	colon_uc_up_day4
Myl7	colon_uc_up_day4
Cd300lb	colon_uc_up_day4
Cxcl5	colon_uc_up_day4
Lag3	colon_uc_up_day4
Steap4	colon_uc_up_day4
Lrg1	colon_uc_up_day4
Serpina3n	colon_uc_up_day4
Nfil3	colon_uc_up_day4
C2cd4b	colon_uc_up_day4
Lst1	colon_uc_up_day4
Gstp3	colon_uc_up_day4
Ptx3	colon_uc_up_day4
Saa3	colon_uc_up_day4
Cd300c2	colon_uc_up_day4
Ly6a	colon_uc_up_day4
Fcgr4	colon_uc_up_day4
Ncf1	colon_uc_up_day4
Nt5c1a	colon_uc_up_day4
Clca4b	colon_uc_up_day4
Arhgap25	colon_uc_up_day4
Igfbp5	colon_uc_up_day4
Rasl11a	colon_uc_up_day4
Trim29	colon_uc_up_day4
Tyrobp	colon_uc_up_day4
Lrp8	colon_uc_up_day4
Ccr5	colon_uc_up_day4
Mmp25	colon_uc_up_day4
Cpn2	colon_uc_up_day4
Capg	colon_uc_up_day4
Alpl	colon_uc_up_day4
Pappa2	colon_uc_up_day4
Pla2g5	colon_uc_up_day4
Ren1	colon_uc_up_day4
Csf2rb2	colon_uc_up_day4
F10	colon_uc_up_day4
Ms4a18	colon_uc_up_day4
Fxyd5	colon_uc_up_day4
Tgm1	colon_uc_up_day4
Dio3	colon_uc_up_day4
Fam26f	colon_uc_up_day4
Nfam1	colon_uc_up_day4
Retnlb	colon_uc_up_day4
Anxa8	colon_uc_up_day4
Ifitm6	colon_uc_up_day4
Ifitm3	colon_uc_up_day4
Akr1c21	colon_uc_up_day4
Slc10a6	colon_uc_up_day4
Hgf	colon_uc_up_day4
Ctps	colon_uc_up_day4
Clec4d	colon_uc_up_day4
Ms4a6c	colon_uc_up_day4
Fcgr1	colon_uc_up_day4
Muc1	colon_uc_up_day4
Olfml3	colon_uc_up_day4
Lyz2	colon_uc_up_day4
Tm4sf5	colon_uc_up_day4
Csf3r	colon_uc_up_day4
E2f2	colon_uc_up_day4
Slc16a3	colon_uc_up_day4
Gm13304	colon_uc_up_day4
Reg3b	colon_uc_up_day4
Myot	colon_uc_up_day4
Muc6	colon_uc_up_day4
Aqp4	colon_uc_up_day4
Marco	colon_uc_up_day4
Rtn4rl2	colon_uc_up_day4
Ifit2	colon_uc_up_day4
Alox5ap	colon_uc_up_day4
Itgax	colon_uc_up_day4
Il1b	colon_uc_up_day4
Krt36	colon_uc_up_day4
Ifitm1	colon_uc_up_day4
Pirb	colon_uc_up_day4
Sell	colon_uc_up_day4
Mpeg1	colon_uc_up_day4
Lox	colon_uc_up_day4
Ccr1	colon_uc_up_day4
Agbl2	colon_uc_up_day4
Igfbp4	colon_uc_up_day4
B430306N03Rik	colon_uc_up_day4
Mgp	colon_uc_up_day4
Angpt4	colon_uc_up_day4
Arntl	colon_uc_up_day4
Cyp4f18	colon_uc_up_day4
Sirpb1a	colon_uc_up_day4
Tap1	colon_uc_up_day4
Pcsk9	colon_uc_up_day4
Wfdc17	colon_uc_up_day4
Fcgr2b	colon_uc_up_day4
Ifi205	colon_uc_up_day4
Bcl2l15	colon_uc_up_day4
Ccl21a	colon_uc_up_day4
Ccr7	colon_uc_up_day4
Ly6f	colon_uc_up_day4
Clec4a3	colon_uc_up_day4
Trem2	colon_uc_up_day4
Col18a1	colon_uc_up_day4
Cebpd	colon_uc_up_day4
Gna14	colon_uc_up_day4
Bst1	colon_uc_up_day4
Cd68	colon_uc_up_day4
Laptm5	colon_uc_up_day4
G430049J08Rik	colon_uc_up_day4
Ms4a6d	colon_uc_up_day4
Cd300ld	colon_uc_up_day4
Lair1	colon_uc_up_day4
Slc15a3	colon_uc_up_day4
Hp	colon_uc_up_day4
Glipr2	colon_uc_up_day4
Inhba	colon_uc_up_day4
Draxin	colon_uc_up_day4
Ptk6	colon_uc_up_day4
Lgi2	colon_uc_up_day4
Lrrc25	colon_uc_up_day4
Nlrc5	colon_uc_up_day4
Rinl	colon_uc_up_day4
Chil3	colon_uc_up_day4
Cfp	colon_uc_up_day4
Grem1	colon_uc_up_day4
Tnfrsf9	colon_uc_up_day4
Ncf4	colon_uc_up_day4
Spon1	colon_uc_up_day4
Clec4n	colon_uc_up_day4
Tacr1	colon_uc_up_day4
Gbp2	colon_uc_up_day4
Aif1	colon_uc_up_day4
Ccl2	colon_uc_up_day4
Gsap	colon_uc_up_day4
Hk3	colon_uc_up_day4
Ms4a10	colon_uc_up_day4
AB124611	colon_uc_up_day4
S100a9	colon_uc_up_day4
Serpina3i	colon_uc_up_day4
H2-M2	colon_uc_up_day4
Cybb	colon_uc_up_day4
Rhov	colon_uc_up_day4
Relt	colon_uc_up_day4
Grhl3	colon_uc_up_day4
Ifi207	colon_uc_up_day4
Spi1	colon_uc_up_day4
Chst13	colon_uc_up_day4
Fgf23	colon_uc_up_day4
Clec4a1	colon_uc_up_day4
Gapt	colon_uc_up_day4
Nxpe5	colon_uc_up_day4
Msr1	colon_uc_up_day4
C1qb	colon_uc_up_day4
Tarm1	colon_uc_up_day4
Il18	colon_uc_up_day4
Lcp2	colon_uc_up_day4
Ms4a4a	colon_uc_up_day4
Tlr13	colon_uc_up_day4
Ms4a6b	colon_uc_up_day4
Iigp1	colon_uc_up_day4
Eln	colon_uc_up_day4
Nucb2	colon_uc_up_day4
Prtn3	colon_uc_up_day4
Khdc1a	colon_uc_up_day4
Il33	colon_uc_up_day4
Capn11	colon_uc_up_day4
Bmper	colon_uc_up_day4
Thpo	colon_uc_up_day4
E130208F15Rik	colon_uc_up_day4
Bdkrb1	colon_uc_up_day4
Adgre4	colon_uc_up_day4
Ackr1	colon_uc_up_day4
Il1rl1	colon_uc_up_day4
Snai1	colon_uc_up_day4
Tgtp2	colon_uc_up_day4
Gm4951	colon_uc_up_day4
Pilra	colon_uc_up_day4
Ccl7	colon_uc_up_day4
Zfp993	colon_uc_up_day4
Mybpc2	colon_uc_up_day4
Igtp	colon_uc_up_day4
Ly6i	colon_uc_up_day4
Rnf125	colon_uc_up_day4
Il21r	colon_uc_up_day4
Nccrp1	colon_uc_up_day4
Arhgap40	colon_uc_up_day4
Gm5150	colon_uc_up_day4
Clec4e	colon_uc_up_day4
Fcer1g	colon_uc_up_day4
Npl	colon_uc_up_day4
Cebpe	colon_uc_up_day4
Zc3h12a	colon_uc_up_day4
Gbp4	colon_uc_up_day4
Slc7a11	colon_uc_up_day4
Mdfi	colon_uc_up_day4
Wfdc18	colon_uc_up_day4
Cxcl3	colon_uc_up_day4
Fhl3	colon_uc_up_day4
Cxcl13	colon_uc_up_day4
Fer1l4	colon_uc_up_day4
C6	colon_uc_up_day4
Ugt1a2	colon_uc_up_day4
Vcam1	colon_uc_up_day4
Vill	colon_uc_up_day4
Adssl1	colon_uc_up_day4
Mefv	colon_uc_up_day4
Sfrp2	colon_uc_up_day4
Trem1	colon_uc_up_day4
Gm6169	colon_uc_up_day4
Gm2564	colon_uc_up_day4
Gpr88	colon_uc_up_day4
Osm	colon_uc_up_day4
Prl2a1	colon_uc_up_day4
Cxcl2	colon_uc_up_day4
Ttyh1	colon_uc_up_day4
Lypd3	colon_uc_up_day4
Tnfaip2	colon_uc_up_day4
Gm42416	colon_uc_up_day4
Sod3	colon_uc_up_day4
Csta1	colon_uc_up_day4
Otop1	colon_uc_up_day4
Slc13a3	colon_uc_up_day4
Penk	colon_uc_up_day4
Cpz	colon_uc_up_day4
C1qc	colon_uc_up_day4
Cxcl10	colon_uc_up_day4
Il1rn	colon_uc_up_day4
Batf3	colon_uc_up_day4
Adgra1	colon_uc_up_day4
Masp1	colon_uc_up_day4
Tgtp1	colon_uc_up_day4
