GeneName	condition
Kcnj8	GSE83687_Colon_GroupCD-GroupControl_Up
Tmem54	GSE83687_Colon_GroupCD-GroupControl_Down
Lax1	GSE83687_Colon_GroupCD-GroupControl_Up
Clta	GSE83687_Colon_GroupCD-GroupControl_Down
Cntfr	GSE83687_Colon_GroupCD-GroupControl_Down
Acads	GSE83687_Colon_GroupCD-GroupControl_Down
Dnah8	GSE83687_Colon_GroupCD-GroupControl_Up
Cxcl5	GSE83687_Colon_GroupCD-GroupControl_Up
Wnt1	GSE83687_Colon_GroupCD-GroupControl_Up
Cox6b1	GSE83687_Colon_GroupCD-GroupControl_Down
Prdx5	GSE83687_Colon_GroupCD-GroupControl_Down
Rhoj	GSE83687_Colon_GroupCD-GroupControl_Up
Echs1	GSE83687_Colon_GroupCD-GroupControl_Down
Kdr	GSE83687_Colon_GroupCD-GroupControl_Up
Mpst	GSE83687_Colon_GroupCD-GroupControl_Down
Tst	GSE83687_Colon_GroupCD-GroupControl_Down
Chn1	GSE83687_Colon_GroupCD-GroupControl_Up
Stard8	GSE83687_Colon_GroupCD-GroupControl_Up
Lrch2	GSE83687_Colon_GroupCD-GroupControl_Up
Atpif1	GSE83687_Colon_GroupCD-GroupControl_Down
Cox4i1	GSE83687_Colon_GroupCD-GroupControl_Down
Ido1	GSE83687_Colon_GroupCD-GroupControl_Up
Slc6a6	GSE83687_Colon_GroupCD-GroupControl_Up
Lgals3	GSE83687_Colon_GroupCD-GroupControl_Down
Kank4	GSE83687_Colon_GroupCD-GroupControl_Down
Pde6a	GSE83687_Colon_GroupCD-GroupControl_Down
Kl	GSE83687_Colon_GroupCD-GroupControl_Up
Hmgcs2	GSE83687_Colon_GroupCD-GroupControl_Down
Dsg3	GSE83687_Colon_GroupCD-GroupControl_Up
Fads2	GSE83687_Colon_GroupCD-GroupControl_Up
Ccnjl	GSE83687_Colon_GroupCD-GroupControl_Down
Lca5	GSE83687_Colon_GroupCD-GroupControl_Up
Pkib	GSE83687_Colon_GroupCD-GroupControl_Down
Stx11	GSE83687_Colon_GroupCD-GroupControl_Up
Pradc1	GSE83687_Colon_GroupCD-GroupControl_Down
Dysf	GSE83687_Colon_GroupCD-GroupControl_Up
Cox5b-ps	GSE83687_Colon_GroupCD-GroupControl_Down
Cox5b	GSE83687_Colon_GroupCD-GroupControl_Down
Il6	GSE83687_Colon_GroupCD-GroupControl_Up
Ermn	GSE83687_Colon_GroupCD-GroupControl_Up
Txn1	GSE83687_Colon_GroupCD-GroupControl_Down
Il33	GSE83687_Colon_GroupCD-GroupControl_Up
Pi15	GSE83687_Colon_GroupCD-GroupControl_Up
Ggh	GSE83687_Colon_GroupCD-GroupControl_Down
Sqor	GSE83687_Colon_GroupCD-GroupControl_Down
Paqr5	GSE83687_Colon_GroupCD-GroupControl_Down
Arhgap29	GSE83687_Colon_GroupCD-GroupControl_Up
Ifi44	GSE83687_Colon_GroupCD-GroupControl_Up
Rbp4	GSE83687_Colon_GroupCD-GroupControl_Down
Hecw2	GSE83687_Colon_GroupCD-GroupControl_Up
Enpep	GSE83687_Colon_GroupCD-GroupControl_Up
Lef1	GSE83687_Colon_GroupCD-GroupControl_Up
Gpr65	GSE83687_Colon_GroupCD-GroupControl_Up
Hapln3	GSE83687_Colon_GroupCD-GroupControl_Up
Adamts18	GSE83687_Colon_GroupCD-GroupControl_Up
Ndufb10	GSE83687_Colon_GroupCD-GroupControl_Down
Impa2	GSE83687_Colon_GroupCD-GroupControl_Down
Pik3r5	GSE83687_Colon_GroupCD-GroupControl_Up
Mgst3	GSE83687_Colon_GroupCD-GroupControl_Down
Rgs5	GSE83687_Colon_GroupCD-GroupControl_Up
Sema6c	GSE83687_Colon_GroupCD-GroupControl_Up
S100a8	GSE83687_Colon_GroupCD-GroupControl_Up
Slc10a6	GSE83687_Colon_GroupCD-GroupControl_Up
Ndufs6	GSE83687_Colon_GroupCD-GroupControl_Down
Lancl3	GSE83687_Colon_GroupCD-GroupControl_Down
Dipk2b	GSE83687_Colon_GroupCD-GroupControl_Up
Ndufb9	GSE83687_Colon_GroupCD-GroupControl_Down
Fam13c	GSE83687_Colon_GroupCD-GroupControl_Up
Plekhs1	GSE83687_Colon_GroupCD-GroupControl_Up
Itprip	GSE83687_Colon_GroupCD-GroupControl_Up
Adam12	GSE83687_Colon_GroupCD-GroupControl_Up
Tenm4	GSE83687_Colon_GroupCD-GroupControl_Up
Fads1	GSE83687_Colon_GroupCD-GroupControl_Up
Clec1a	GSE83687_Colon_GroupCD-GroupControl_Up
Cd226	GSE83687_Colon_GroupCD-GroupControl_Up
Btbd11	GSE83687_Colon_GroupCD-GroupControl_Up
Adamts12	GSE83687_Colon_GroupCD-GroupControl_Up
Tdo2	GSE83687_Colon_GroupCD-GroupControl_Up
Parp8	GSE83687_Colon_GroupCD-GroupControl_Up
Wdr78	GSE83687_Colon_GroupCD-GroupControl_Down
Ankrd29	GSE83687_Colon_GroupCD-GroupControl_Up
Dnaaf1	GSE83687_Colon_GroupCD-GroupControl_Up
Robo4	GSE83687_Colon_GroupCD-GroupControl_Up
Gbp5	GSE83687_Colon_GroupCD-GroupControl_Up
Atp5g3	GSE83687_Colon_GroupCD-GroupControl_Down
Adamts1	GSE83687_Colon_GroupCD-GroupControl_Up
Adamts5	GSE83687_Colon_GroupCD-GroupControl_Up
Ephb1	GSE83687_Colon_GroupCD-GroupControl_Up
Samsn1	GSE83687_Colon_GroupCD-GroupControl_Up
Rhoc	GSE83687_Colon_GroupCD-GroupControl_Down
Cpt2	GSE83687_Colon_GroupCD-GroupControl_Down
Afap1l1	GSE83687_Colon_GroupCD-GroupControl_Up
Erg	GSE83687_Colon_GroupCD-GroupControl_Up
Tspan18	GSE83687_Colon_GroupCD-GroupControl_Up
Garem2	GSE83687_Colon_GroupCD-GroupControl_Down
Gdpd5	GSE83687_Colon_GroupCD-GroupControl_Up
Tmprss3	GSE83687_Colon_GroupCD-GroupControl_Up
Cstb	GSE83687_Colon_GroupCD-GroupControl_Down
Cacfd1	GSE83687_Colon_GroupCD-GroupControl_Down
Cox6b2	GSE83687_Colon_GroupCD-GroupControl_Down
Plxdc1	GSE83687_Colon_GroupCD-GroupControl_Up
Cd300lg	GSE83687_Colon_GroupCD-GroupControl_Up
Pars2	GSE83687_Colon_GroupCD-GroupControl_Down
Adgrl4	GSE83687_Colon_GroupCD-GroupControl_Up
Nlrp3	GSE83687_Colon_GroupCD-GroupControl_Up
Olfml2b	GSE83687_Colon_GroupCD-GroupControl_Up
Sned1	GSE83687_Colon_GroupCD-GroupControl_Up
Kif26b	GSE83687_Colon_GroupCD-GroupControl_Up
Il24	GSE83687_Colon_GroupCD-GroupControl_Up
Cfap221	GSE83687_Colon_GroupCD-GroupControl_Up
Inhbb	GSE83687_Colon_GroupCD-GroupControl_Up
Alpi	GSE83687_Colon_GroupCD-GroupControl_Down
Akp3	GSE83687_Colon_GroupCD-GroupControl_Down
Alppl2	GSE83687_Colon_GroupCD-GroupControl_Down
Col6a3	GSE83687_Colon_GroupCD-GroupControl_Up
Prok2	GSE83687_Colon_GroupCD-GroupControl_Up
Trat1	GSE83687_Colon_GroupCD-GroupControl_Up
Suclg1	GSE83687_Colon_GroupCD-GroupControl_Down
Ifi208	GSE83687_Colon_GroupCD-GroupControl_Up
Ifi213	GSE83687_Colon_GroupCD-GroupControl_Up
Ifi214	GSE83687_Colon_GroupCD-GroupControl_Up
Fabp1	GSE83687_Colon_GroupCD-GroupControl_Down
Ctla4	GSE83687_Colon_GroupCD-GroupControl_Up
Icos	GSE83687_Colon_GroupCD-GroupControl_Up
Ptpn13	GSE83687_Colon_GroupCD-GroupControl_Up
Slc6a20a	GSE83687_Colon_GroupCD-GroupControl_Up
Slc6a20b	GSE83687_Colon_GroupCD-GroupControl_Up
Spry1	GSE83687_Colon_GroupCD-GroupControl_Up
Grm2	GSE83687_Colon_GroupCD-GroupControl_Up
Gucy1a1	GSE83687_Colon_GroupCD-GroupControl_Up
Npy1r	GSE83687_Colon_GroupCD-GroupControl_Down
Uqcrq	GSE83687_Colon_GroupCD-GroupControl_Down
Tagap1	GSE83687_Colon_GroupCD-GroupControl_Up
Tagap	GSE83687_Colon_GroupCD-GroupControl_Up
Dlc1	GSE83687_Colon_GroupCD-GroupControl_Up
Defa34	GSE83687_Colon_GroupCD-GroupControl_Up
Defa17	GSE83687_Colon_GroupCD-GroupControl_Up
Defa41	GSE83687_Colon_GroupCD-GroupControl_Up
Defa2	GSE83687_Colon_GroupCD-GroupControl_Up
Defa33	GSE83687_Colon_GroupCD-GroupControl_Up
Defa28	GSE83687_Colon_GroupCD-GroupControl_Up
Defa40	GSE83687_Colon_GroupCD-GroupControl_Up
Defa25	GSE83687_Colon_GroupCD-GroupControl_Up
Defa23	GSE83687_Colon_GroupCD-GroupControl_Up
AY761185	GSE83687_Colon_GroupCD-GroupControl_Up
Defa22	GSE83687_Colon_GroupCD-GroupControl_Up
Defa38	GSE83687_Colon_GroupCD-GroupControl_Up
Defa32	GSE83687_Colon_GroupCD-GroupControl_Up
Defa3	GSE83687_Colon_GroupCD-GroupControl_Up
Defa37	GSE83687_Colon_GroupCD-GroupControl_Up
Defa35	GSE83687_Colon_GroupCD-GroupControl_Up
Defa31	GSE83687_Colon_GroupCD-GroupControl_Up
